# Second Kauri HotStuff
1	8800	600
2	8800	800
3	9000	800
4	8800	400
5	9000	1000
6	8800	800
7	8800	800
8	8800	600
9	8800	1000
10	9000	600
11	8800	600
12	9000	800
13	8600	800
14	9000	600
15	8800	1000
16	9000	600
17	9000	600
18	9000	800
19	8800	800
20	8800	800
21	8800	600
22	8800	800
23	9200	800
24	8800	600
25	8600	600
26	9000	800
27	8800	800
28	8800	800
29	9400	600
30	8600	800
31	9000	1000
32	8800	600
33	8800	600
34	9000	800
35	9200	800
36	8400	400
37	8800	1000
38	8800	800
39	9200	400
40	9000	800
41	8200	1000
42	1400	200
43	0	200
44	0	0
45	2800	0
46	5000	0
47	5000	0
48	6200	0
49	6600	0
50	7800	0
51	8200	0
52	8800	0
53	9000	0
54	9000	0
55	8600	0
56	9000	600
57	8600	800
58	8800	600
59	9000	800
60	8600	600
61	9000	1000
62	9000	600
63	8600	800
64	9000	600
65	8600	1000
66	8600	1000
67	9200	600
68	8600	600
69	9000	800
70	8800	1000
71	8600	800
72	8600	600
73	9000	600
74	8800	1000
75	8600	800
76	9000	800
77	8600	400
78	8600	1000
79	9000	1000
80	9000	400
81	8600	800
82	8600	800
83	9200	1000
84	9000	800
85	8600	400
86	9000	800
87	8600	1000
88	8800	800
89	9200	400
90	8600	800
91	8800	1000
92	8800	800
93	8600	600
94	9200	600
95	8400	1000
96	9000	1000
97	9200	600
98	8400	400
99	9000	1000
100	8800	1000
