# Second Kauri HotStuff
1	8600	1000
2	8800	800
3	9000	800
4	8800	200
5	8800	1000
6	9000	1000
7	8400	600
8	9000	400
9	8800	1000
10	8800	1000
11	9200	600
12	8400	400
13	8800	1000
14	9000	1000
15	9000	400
16	9000	600
17	8800	1000
18	8800	800
19	9200	600
20	8400	600
21	9000	1000
22	8800	800
23	9000	200
24	8800	1000
25	8800	1000
26	9000	600
27	8600	400
28	9000	800
29	8800	1000
30	8800	800
31	9200	400
32	8600	1000
33	8800	800
34	8800	800
35	9000	400
36	9400	1000
37	8800	600
38	8400	400
39	9000	800
40	8800	600
41	8400	1000
42	2400	600
43	2400	0
44	4200	0
45	5600	200
46	6000	600
47	7000	600
48	7600	600
49	8400	400
50	8800	800
51	8800	1200
52	8600	800
53	8800	400
54	8800	800
55	8400	800
56	8600	600
57	9000	800
58	8400	800
59	8800	1000
60	8800	200
61	8400	1000
62	8600	800
63	8800	600
64	8400	800
65	8400	600
66	8800	800
67	8800	1000
68	8600	400
69	8600	1000
70	8400	800
71	8400	600
72	9200	400
73	8000	1000
74	9000	800
75	8800	400
76	8200	800
77	8800	800
78	8800	800
79	8600	800
80	8200	800
81	8800	800
82	8800	800
83	8600	600
84	8800	800
85	8400	600
86	8600	400
87	8800	600
88	8200	800
89	9000	1000
90	8600	800
91	8400	600
92	8800	800
93	8400	800
94	9000	600
95	8600	800
96	8400	800
97	8800	800
98	8600	600
99	8600	800
100	8800	600
