#Time #Throughput #Kauri
0	1600
1	1680
2	2240
3	4000
4	4080
5	4160
6	4000
7	4240
8	4080
9	4080
10	4080
11	4080
12	4080
13	4080
14	4160
15	4000
16	4080
17	4240
18	4080
19	4080
20	4080
21	4160
22	4000
23	4000
24	4000
25	4160
26	4000
27	4080
28	4080
29	4160
30	4080
31	4160
32	4000
33	4160
34	4080
35	4160
36	4080
37	4240
38	4080
39	4000
40	4160
41	4080
42	4000
43	4000
44	4080
45	4000
46	4240
47	4000
48	4000
49	4080
50	4160
51	4000
52	4080
53	4160
54	4160
55	4080
56	4160
57	4080
58	4160
59	4080
60	2400
61	1600
62	1680
63	2400
64	3680
65	4080
66	4080
67	4240
68	4000
69	4160
70	4240
71	4080
72	4240
73	4080
74	4160
75	4080
76	4080
77	4160
78	4160
79	4000
80	4080
81	4080
82	4000
83	4160
84	4080
85	4080
86	4240
87	4160
88	4160
89	4240
90	4080
91	4160
92	4080
93	4080
94	4000
95	4160
96	4000
97	4160
98	4080
99	4000
100	4160

#Time #Throughput #HotStuff secp
0	560
1	720
2	720
3	800
4	640
5	800
6	720
7	800
8	720
9	640
10	800
11	720
12	800
13	800
14	640
15	640
16	720
17	800
18	800
19	720
20	640
21	720
22	800
23	720
24	720
25	720
26	720
27	720
28	800
29	720
30	720
31	640
32	720
33	800
34	800
35	720
36	720
37	720
38	720
39	720
40	720
41	800
42	720
43	720
44	720
45	720
46	800
47	720
48	640
49	720
50	800
51	720
52	720
53	720
54	800
55	720
56	720
57	720
58	720
59	720
60	640
61	320
62	480
63	800
64	720
65	640
66	800
67	720
68	720
69	800
70	640
71	800
72	720
73	720
74	720
75	720
76	720
77	720
78	800
79	720
80	720
81	640
82	800
83	720
84	720
85	800
86	640
87	800
88	640
89	800
90	720
91	720
92	720
93	720
94	720
95	720
96	800
97	640
98	800
99	720
100	720
